x1,y1,x1,y1,x1,y1
10,5.22E-05,10,9.54E-05,10,0.0017386
20,4.97E-06,20,9.75E-05,20,0.00024975
30,4.68E-06,30,9.16E-05,30,0.00014359
40,4.79E-06,40,0.00010054,40,0.00014464
50,5.12E-06,50,7.53E-05,50,0.00022146
60,5.08E-06,60,8.10E-05,60,0.00015864
70,5.43E-06,70,7.92E-05,70,0.00018938
80,5.55E-06,80,9.40E-05,80,0.00014196
90,5.92E-06,90,8.35E-05,90,0.00015322
100,7.33E-06,100,0.00011761,100,0.00015161
110,7.89E-06,110,7.91E-05,110,0.00017499
120,8.12E-06,120,7.95E-05,120,0.00018469
130,8.35E-06,130,7.74E-05,130,0.00019498
140,8.35E-06,140,8.31E-05,140,0.0001998
150,8.71E-06,150,8.83E-05,150,0.00021268
160,8.73E-06,160,0.00011028,160,0.00022314
170,9.00E-06,170,0.00017437,170,0.00031463
180,8.94E-06,180,0.00015259,180,0.00037669
190,1.02E-05,190,9.38E-05,190,0.0002834
200,1.05E-05,200,9.60E-05,200,0.00048888
210,1.07E-05,210,9.59E-05,210,0.00046382
220,1.05E-05,220,9.30E-05,220,0.00032616
230,1.10E-05,230,0.00011977,230,0.00047137
240,1.12E-05,240,0.00010386,240,0.00040534
250,1.21E-05,250,0.00011194,250,0.00054839
260,1.42E-05,260,0.00013099,260,0.00047588
270,1.45E-05,270,0.00010509,270,0.00049949
280,2.10E-05,280,0.00015776,280,0.00061714
290,1.92E-05,290,0.00010698,290,0.00059536
300,1.93E-05,300,0.00014862,300,0.00067677
310,2.03E-05,310,0.00015486,310,0.00056725
320,2.06E-05,320,0.00019674,320,0.0006614
330,2.21E-05,330,0.00013493,330,0.00097749
340,3.04E-05,340,0.00014706,340,0.00068112
350,2.53E-05,350,0.00012542,350,0.00093605
360,2.80E-05,360,0.00014696,360,0.00091205
370,2.35E-05,370,0.0001814,370,0.00077534
380,3.17E-05,380,0.00020501,380,0.00090284
390,2.73E-05,390,0.00018574,390,0.0011502
400,2.81E-05,400,0.00022918,400,0.0013309
410,2.85E-05,410,0.00023614,410,0.0010055
420,2.75E-05,420,0.00020721,420,0.0010066
430,3.39E-05,430,0.0002759,430,0.0010469
440,3.97E-05,440,0.00018953,440,0.0011641
450,6.56E-05,450,0.00029608,450,0.0011261
460,3.21E-05,460,0.00020766,460,0.001567
470,3.65E-05,470,0.00023162,470,0.001638
480,3.30E-05,480,0.00022615,480,0.0015052
490,3.91E-05,490,0.00019843,490,0.0012119
500,4.13E-05,500,0.00018107,500,0.0012191
510,3.08E-05,510,0.00021385,510,0.0012509
520,3.74E-05,520,0.00017667,520,0.0013077
530,4.48E-05,530,0.00031567,530,0.001576
540,3.77E-05,540,0.00031082,540,0.0014213
550,3.78E-05,550,0.00029853,550,0.0015014
560,3.01E-05,560,0.00020563,560,0.0016186
570,3.18E-05,570,0.00025452,570,0.0016024
580,5.21E-05,580,0.0003317,580,0.001624
590,3.31E-05,590,0.00032513,590,0.0017341
600,3.13E-05,600,0.00044095,600,0.0017557
610,3.39E-05,610,0.00031989,610,0.001736
620,3.34E-05,620,0.00025428,620,0.0017889
630,4.07E-05,630,0.0002406,630,0.0018207
640,3.10E-05,640,0.00033972,640,0.0019011
650,3.52E-05,650,0.00026783,650,0.0019747
660,3.29E-05,660,0.00029085,660,0.0020114
670,3.38E-05,670,0.00042897,670,0.0022306
680,3.24E-05,680,0.00027067,680,0.0021331
690,4.34E-05,690,0.00043372,690,0.0022755
700,5.74E-05,700,0.00038878,700,0.0022082
710,3.64E-05,710,0.00037008,710,0.0023163
720,3.62E-05,720,0.00034972,720,0.0023985
730,3.88E-05,730,0.00032627,730,0.0024684
740,6.69E-05,740,0.00031515,740,0.002484
750,3.99E-05,750,0.00032721,750,0.0025721
760,3.94E-05,760,0.00032888,760,0.002615
770,4.07E-05,770,0.00036278,770,0.0028015
780,4.16E-05,780,0.00038673,780,0.0027136
790,3.96E-05,790,0.00036715,790,0.0028365
800,4.10E-05,800,0.00044545,800,0.0028233
810,4.56E-05,810,0.00041276,810,0.0030205
820,4.52E-05,820,0.00043473,820,0.0030311
830,5.05E-05,830,0.00040702,830,0.003197
840,5.37E-05,840,0.00041558,840,0.0031594
850,5.49E-05,850,0.00043329,850,0.0032702
860,5.43E-05,860,0.00043857,860,0.003394
870,5.80E-05,870,0.00056718,870,0.0033977
880,5.79E-05,880,0.00049317,880,0.0034663
890,6.13E-05,890,0.00063636,890,0.0035382
900,5.97E-05,900,0.00048904,900,0.0035707
910,7.66E-05,910,0.00049628,910,0.0036628
920,7.55E-05,920,0.00048802,920,0.0037629
930,8.97E-05,930,0.00051721,930,0.0054074
940,9.30E-05,940,0.00057172,940,0.0051715
950,0.00010705,950,0.0005724,950,0.0056351
960,9.41E-05,960,0.00053981,960,0.0056587
970,0.00010516,970,0.00056367,970,0.0056009
980,0.00012381,980,0.00062812,980,0.0041995
990,0.00013713,990,0.00061222,990,0.0043703
1000,0.00014458,1000,0.00062858,1000,0.0043759
1010,0.0001472,1010,0.00060066,1010,0.0044425
1020,0.00016769,1020,0.00066882,1020,0.0044887
1030,0.00015796,1030,0.00066534,1030,0.0046475
1040,0.00016768,1040,0.00067924,1040,0.0046788
